Box,Artist ,Additional Artist,Album,Sub,Notes,Other markings,
#1,Cab Calloway,,The Cab Calloway Collection,20 Golden Greats,,,
#1,Chas n Dave,,Knees Up,Jamboree Bag No 2,Includes Song book,,
#1,Contour,,16 Chart Hits ,Volume 9,,,
#1,"Dave Dee, Dozy, Beaky, Mick and Titch",,If no one sang,,,,
#1,David Carroll,and his orchestra,Percussion Orientale  ,Musical Sounds of the middle east,,,
#1,Domingo,,The Essential,Popular songs and arias,,,
#1,Donovan,,Colours,,,,
#1,Donovan,,Catch The Wind,,,,
#1,Duran Duran,,Notorius,,,,
#1,DVORAK,,Symphony No. 8 ,"Symphony No 8 (formerly No 4) in G Maor, Op 88. Scherzo Capriccioso, OP 66","Philharmonia Orchestra, Conducted By Carlo Maria Giulini",T590,
#1,DVORAK,,Symphony No. 5,"Symphony No 5 in E Minor, Op 95,",Leopold Ludwig conducting The London Symphony Orchestra,TP 73,
#1,Eddie Dunstedter,,The Bells of Christmas,Eddie Dunsteder at the Organ,,,
#1,Erwin Halletz,,Mr Casanova,Soft Music for Sweet Dreams,,,
#1,Frederic Chopin & Wolfgang Amadeus Mozart ,,Piano Concerto No 2 & Sinfonia Concertante for Violin and Viola,,,,
#1,Giuseppe Verdi,,Don Carlos,in Italiano,,,
#1,Glen Campbell,,Greatest Hits,,,,
#1,Glen Campbell,,By The Time I Get To Phoenix,,,,
#1,Glen Campbell,,Glen,,,,
#1,Glen Campbell,,Greatest Hits,,,,
#1,Glen Campbell,,Reunion,The Songs of Jimmy Webb,,,
#1,Glen Campbell,,Wichita Lineman,,,,
#1,Glen Travis Campbell,,Untitled,,,,
#1,Huddersfield Choral Soceity,,The Carols Album,,,,
#1,Joe 'Fingers' Carr,,Goes Continental,,,,
#1,John Denver,,The Best Of,Volume 2,,,
#1,Johnny Cash,,Ring Of Fire,The Best Of,,,
#1,Johnny Cash,,I walk the line,,,,
#1,Johnny Duncan,,Come a little bit closer,,,,
#1,Johnny Duncan,,Greatest Hits,,,,
#1,Judith Durham,and the hottest band in town,,,,,
#1,Jusy Collins,,Judith,,,,
#1,Maria Callas,,Callas sings Verdi at La Scala,,,,
#1,Maria Callas,,Mad Scenes,,,,
#1,Michael Collins,and his orchestra,Chu-Chin-Chow,,,,
#1,Michael Crawford,with the London Symphony Orchestra,Songs from the stage and screen,,,,
#1,Norman Candler,and his magic strings,Can't Give you anything but my love,,,,
#1,Perry Como,,And I Love You So,,,,
#1,Pietro Mascagni & Ruggiero Leoncavallo,,Cavalleria Rusticana & I Pagliacci,,,,
#1,Ray Conniff,,"His Orchestra, His Chorus, His Singers, His Sound",,,,
#1,Ray Conniff,,"Music From Mary Poppins, The Sounds of Music, My Fair Lady ",,,,
#1,Ray Conniff,and his Orchestra and Chorus,Hello Young Lovers,,,,
#1,Ray Conniff,and the singers,Somewhere My Love,,,,
#1,Ray Conniff,and the singers,This is My Song,,,,
#1,Ray Conniff,and the singers,Love Theme from 'The Godfather',,,,
#1,Ray Conniff,and his Orchestra and Chorus,Great Contempory Instrumental Hits,,,,
#1,Ray Conniff,and the singers,We've Only Just Begun,,,,
#1,Ray Conniff,and his Orchestra and Chorus,,,,,
#1,Ray Conniff,and the singers,Plays Carpenters,,,,
#1,Ray Conniff,and his Orchestra and the Singers,The look of love,,,,
#1,Ray Conniff,and the singers,I Love how you love me,,,,
#1,Ray Conniff,and the singers,Love Affair,,,,
#1,Ray Conniff,and the singers,Without You,,,,
#1,Ray Conniff,,The Way We Were,,,,
#1,Richard Clayderman,,Lettre A Ma Mere,,,,
#1,Roberto Delgado,,Fiesta for Dancing,,,,
#1,Roberto Delgado,and his orchestra,Spanish Eyes,,,,
#1,Roberto Delgado,and his orchestra,Italian Romance,,,,
#1,Roberto Delgado,and his orchestra,Caramba,Hot Rhythm from South America,,,
#1,Roberto Delgado,,This is…,,,,
#1,Roberto Delgado,,Tanz In Der Taverne,,,,
#1,Roberto Delgado,,The very best of,,,,
#1,Roberto Delgado,and his orchestra,Magic Musical,,,,
#1,Roy Drusky,,My grass is green,,,,
#1,Roy Drusky,,All Time Country Hits,,,,
#1,Roy Drusky,,Portait of Roy Drusky,,,,
#1,Skeeter Davis and Bobby Bare,,Tunes for two,,,,
#1,Slim Pickins,and his twenty-niners,Chaleston,,,,
#1,The Bach Choir and Jacques Orchestra,,Choral Classics,,,,
#1,The Carpenters,,The Carpenters,,,,
#1,The Carpenters,,Now And Then,,,,
#1,The Carpenters,,Passage,,,,
#1,The Clancey Brothers and Tommy Makem,,Sing of the Sea,,,,
#1,The Clancey Brothers and Tommy Makem,,The Bold Fenian Men,,,,
#1,The Clancey Brothers and Tommy Makem,,Home Boys Home,,,,
